user_id,username,email,password_hash,full_name,age,gender,city,state,preferred_categories,signup_date,is_admin,is_active
U00001,mark6521,steven45@example.com,pbkdf2:sha256:41ceec81e796de15d4cc92c833011c3a761659ddcb2eafab7aa0601f175328e1,David Martin,18,Female,South Shawnville,Nevada,"Sports, Fashion",2024-09-17,True,True
U00002,floresmegan46,drakeann@example.com,pbkdf2:sha256:f1d1b30a0e979a20bbc01445eb4f617aa39f02e4b511336c73ed3d2e6ccb0b57,Kent Martin,29,Female,New David,Minnesota,"Automotive, Health",2023-09-06,True,False
U00003,ymckinney71,michelleprice@example.net,pbkdf2:sha256:e1c10e15016542e2800616d54d44cc3aea416bc4e308227fa556ad97f3bdfc6e,Roger Douglas III,47,Male,Davilahaven,West Virginia,"Sports, Books",2023-08-12,True,True
U00004,nicole0760,yolandamarks@example.org,pbkdf2:sha256:c08fdceb8ae3d968063d6dd2d25ce11eb5471306d18494c99a3d4c544268a304,Renee Mcdowell,18,Other,North Melanie,Mississippi,"Sports, Home & Kitchen, Automotive",2025-05-22,False,True
U00005,huynhmatthew21,hardingcody@example.net,pbkdf2:sha256:fca45124fff12c86c36d5442ffc7e17301321da2eea69a1c788765725e773055,Kelsey Hopkins,19,Male,North Nicholas,New Mexico,"Fashion, Home & Kitchen, Books",2024-11-26,False,True
U00006,michelle3466,kevinwalters@example.com,pbkdf2:sha256:73ed6338b9c7b37c000229cb6d6bc4124af7c2732da7bb15ffcb2ea798a2bb6f,Meredith Reed,19,Other,Andrewmouth,Massachusetts,Electronics,2026-03-02,False,True
U00007,flemingalfred32,hescobar@example.com,pbkdf2:sha256:1930874921b863cc1783c6b7546b3e3019161a054db517e0b9fafd2480a486fb,Michael Anderson,28,Female,New Maria,Missouri,"Grocery, Books",2024-12-12,False,True
U00008,diana2840,shari41@example.net,pbkdf2:sha256:b74ba2f96e62e7e695571549770291d7756765a38c3a21d30061c38ef81b8c89,Samuel Collins,43,Other,South Jonathanton,Maryland,"Sports, Fashion",2025-02-05,False,True
U00009,jonathan5975,danielsalazar@example.net,pbkdf2:sha256:5e1e886b1e41b844012985cdadb6b8d7687db1d327f710964ec5c855ba069167,Aaron Smith,19,Male,New Patrick,Texas,"Grocery, Automotive, Sports",2023-12-03,False,True
U00010,qdavis55,perryjennifer@example.org,pbkdf2:sha256:3a8d474e83d4c52595ec073acaebc5bc6ffcea3afdf6c82434cd359479430104,Terry Cunningham,22,Male,Kellymouth,Illinois,"Beauty, Automotive",2025-08-30,False,True
