user_id,username,email,password_hash,full_name,age,gender,city,state,preferred_categories,signup_date,is_admin,is_active
U00001,user00001,user1@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Rahul Sharma 1,20,Female,Lucknow,Maharashtra,"Grocery,Books,Health",2023-08-14,True,True
U00002,user00002,user2@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Sneha Gupta 2,54,Other,Jaipur,Gujarat,Sports,2026-01-31,True,True
U00003,user00003,user3@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Karan Mehta 3,22,Other,Jaipur,Telangana,"Home & Kitchen,Health",2026-02-24,True,True
U00004,user00004,user4@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Ananya Joshi 4,37,Female,Mumbai,West Bengal,Books,2023-07-19,False,True
U00005,user00005,user5@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Deepika Nair 5,63,Female,Kolkata,Tamil Nadu,Fashion,2024-07-14,False,True
U00006,user00006,user6@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Sneha Gupta 6,44,Female,Pune,Delhi,"Electronics,Toys",2023-08-29,False,True
U00007,user00007,user7@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Priya Singh 7,31,Male,Jaipur,Telangana,"Sports,Toys",2025-01-16,False,True
U00008,user00008,user8@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Rohit Verma 8,65,Female,Ahmedabad,UP,Home & Kitchen,2024-07-28,False,False
U00009,user00009,user9@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Amit Patel 9,56,Other,Chennai,Gujarat,"Sports,Electronics,Health",2023-08-02,False,True
U00010,user00010,user10@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Deepika Nair 10,48,Other,Chennai,Karnataka,Automotive,2025-07-27,False,True
U00011,user00011,user11@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Vijay Kumar 11,24,Other,Lucknow,West Bengal,"Toys,Beauty,Sports",2023-07-18,False,True
U00012,user00012,user12@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Karan Mehta 12,59,Other,Kolkata,Telangana,"Toys,Automotive",2025-09-02,False,True
U00013,user00013,user13@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Priya Singh 13,65,Male,Ahmedabad,Tamil Nadu,Electronics,2024-07-11,False,True
U00014,user00014,user14@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Priya Singh 14,39,Female,Bangalore,Gujarat,"Fashion,Home & Kitchen",2025-01-14,False,True
U00015,user00015,user15@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Amit Patel 15,57,Other,Lucknow,Punjab,"Toys,Sports",2023-08-17,False,True
U00016,user00016,user16@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Pooja Pillai 16,44,Female,Mumbai,Tamil Nadu,Fashion,2023-05-12,False,True
U00017,user00017,user17@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Deepika Nair 17,58,Female,Chennai,Maharashtra,"Beauty,Grocery,Automotive",2025-09-01,False,True
U00018,user00018,user18@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Karan Mehta 18,54,Other,Delhi,Gujarat,Beauty,2025-10-30,False,True
U00019,user00019,user19@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Rahul Sharma 19,36,Female,Hyderabad,Telangana,"Toys,Home & Kitchen,Grocery",2024-10-31,False,True
U00020,user00020,user20@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Pooja Pillai 20,49,Female,Kolkata,UP,"Sports,Toys",2024-08-16,False,True
U00021,user00021,user21@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Ananya Joshi 21,62,Female,Pune,Karnataka,Grocery,2025-05-06,False,True
U00022,user00022,user22@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Rohit Verma 22,59,Female,Chennai,Delhi,Books,2024-10-11,False,True
U00023,user00023,user23@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Rohit Verma 23,23,Male,Bangalore,Maharashtra,Toys,2026-03-08,False,True
U00024,user00024,user24@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Amit Patel 24,42,Female,Mumbai,UP,"Electronics,Books,Toys",2024-08-22,False,False
U00025,user00025,user25@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Karan Mehta 25,55,Female,Bangalore,Karnataka,"Grocery,Home & Kitchen,Books",2025-12-06,False,True
U00026,user00026,user26@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Rahul Sharma 26,46,Male,Kolkata,Telangana,"Grocery,Home & Kitchen",2024-07-01,False,True
U00027,user00027,user27@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Rahul Sharma 27,61,Other,Kolkata,Telangana,"Grocery,Fashion,Toys,Home & Kitchen",2025-02-19,False,True
U00028,user00028,user28@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Sneha Gupta 28,34,Female,Surat,Punjab,"Automotive,Electronics,Beauty",2023-08-02,False,True
U00029,user00029,user29@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Rohit Verma 29,23,Other,Ahmedabad,West Bengal,Grocery,2023-09-27,False,True
U00030,user00030,user30@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Pooja Pillai 30,48,Female,Chennai,Karnataka,"Books,Grocery",2025-03-27,False,True
U00031,user00031,user31@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Sneha Gupta 31,40,Male,Hyderabad,Karnataka,"Beauty,Sports",2024-08-28,False,True
U00032,user00032,user32@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Amit Patel 32,36,Male,Jaipur,UP,"Home & Kitchen,Automotive",2025-03-09,False,True
U00033,user00033,user33@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Rohit Verma 33,27,Other,Kolkata,West Bengal,"Grocery,Electronics",2023-06-07,False,True
U00034,user00034,user34@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Ananya Joshi 34,20,Other,Bangalore,Delhi,"Toys,Electronics",2023-07-01,False,True
U00035,user00035,user35@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Karan Mehta 35,20,Other,Chennai,Delhi,"Sports,Home & Kitchen,Grocery,Automotive",2024-09-17,False,True
U00036,user00036,user36@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Pooja Pillai 36,56,Other,Jaipur,Delhi,"Automotive,Health,Books,Beauty",2024-08-07,False,True
U00037,user00037,user37@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Vijay Kumar 37,28,Female,Bangalore,Rajasthan,Sports,2025-11-17,False,True
U00038,user00038,user38@smartcart.ai,pbkdf2:sha256:600000$saltXYZ$hashedvalue,Ananya Joshi 38,41,Female,Pune,Gujarat,"Fashion,Electronics,Home & Kitchen,Sports",2023-05-30,False,True
